;Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;CoordenadaX;CoordenadaY;DAP;lnHt;1/dap;Label;Hest
49;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;1;5;1;52.4;;NORMAL;-5397815827;-2049512442;16.67943804;;0.059954058;3.412531717;30.34
50;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;6;1;55.2;29.3;NORMAL;-5397815827;-2049512442;17.57070572;3.377587516;0.05691291;3.400030659;29.30
51;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;6;1;53.5;30.1;NORMAL;-5397601955;-2049466213;17.02957891;3.404525172;0.058721358;3.397348145;30.10
52;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;1;1;40.7;;NORMAL;-5397815827;-2049512442;12.95521237;;0.077189009;3.263166581;26.13
53;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;3;1;54.8;;NORMAL;-5397815827;-2049512442;17.44338176;;0.057328333;3.421597532;30.62
54;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;8;1;54.3;;NORMAL;-5398060813;-2049547616;17.28422682;;0.057856218;3.423093299;30.66
55;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;1;1;42.5;27.8;NORMAL;-5398060813;-2049547616;13.52817016;3.325036021;0.073919827;3.313942554;27.80
56;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;2;1;58.6;31.7;DOMINANTE;-5398060813;-2049547616;18.65295933;3.456316681;0.053610796;3.420335421;31.70
57;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;3;1;41.8;25.7;NORMAL;-5398060813;-2049547616;13.30535324;3.246490992;0.075157719;3.268225009;25.70
58;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;4;1;50.6;30.3;NORMAL;-5398060813;-2049547616;16.10648024;3.411147713;0.062086811;3.423181188;30.30
59;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;5;1;52.5;32.4;NORMAL;-5398060813;-2049547616;16.71126902;3.478158423;0.05983986;3.409391237;32.40
60;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;6;1;54.3;33.4;NORMAL;-5398060813;-2049547616;17.28422682;3.5085559;0.057856218;3.423093299;33.40
61;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;7;1;50.9;31.3;NORMAL;-5398060813;-2049547616;16.20197321;3.443618098;0.061720877;3.416594717;31.30
62;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;4;8;1;56.5;30.4;DOMINANTE;-5398060813;-2049547616;17.98450857;3.414442608;0.05560341;3.406789501;30.40
63;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;1;1;39.7;26.1;NORMAL;-5398060813;-2049547616;12.63690248;3.261935314;0.079133316;3.267886601;26.10
64;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;7;1;29.3;;NORMAL;-5398060813;-2049547616;9.326479665;;0.107221592;3.058202602;21.29
65;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;2;1;50.4;33.7;NORMAL;-5398060813;-2049547616;16.04281826;3.517497837;0.062333188;3.427018425;33.70
66;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;4;1;52.6;29.1;NORMAL;-5398060813;-2049547616;16.74310001;3.370738174;0.059726096;3.403889025;29.10
67;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;5;1;47.4;29.9;NORMAL;-5398060813;-2049547616;15.08788861;3.39785848;0.066278326;3.36670851;29.90
68;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;6;1;57.7;31.7;DOMINANTE;-5398060813;-2049547616;18.36648043;3.456316681;0.054447013;3.417186032;31.70
69;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;7;1;42.2;26.3;NORMAL;-5398060813;-2049547616;13.4326772;3.269568939;0.074445324;3.268157924;26.30
70;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;6;1;1;43.4;;NORMAL;-5398060813;-2049547616;13.81464906;;0.072386928;3.349193521;28.48
71;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;6;2;1;39.2;;NORMAL;-5398060813;-2049547616;12.47774754;;0.08014267;3.266581714;26.22
72;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;6;3;1;45.4;;NORMAL;-5398060813;-2049547616;14.45126883;;0.069198076;3.318489786;27.62
73;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;6;4;1;43.9;;NORMAL;-5398060813;-2049547616;13.973804;;0.071562475;3.349082505;28.48
74;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;6;5;1;44.9;;NORMAL;-5398060813;-2049547616;14.29211389;;0.069968656;3.336409936;28.12
75;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;7;1;1;35.8;;NORMAL;-5398060813;-2049547616;11.39549393;;0.087753985;3.224704171;25.15
76;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;5;3;1;49.5;30.4;NORMAL;-5398060813;-2049547616;15.75633937;3.414442608;0.063466518;3.414449852;30.40
77;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;6;1;49.1;;NORMAL;-5398060813;-2049547616;15.62901541;;0.063983557;3.413988303;30.39
78;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;5;1;43.9;;NORMAL;-5398060813;-2049547616;13.973804;;0.071562475;3.349082505;28.48
79;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;4;1;49.2;;NORMAL;-5398060813;-2049547616;15.6608464;;0.063853509;3.413988303;30.39
80;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;4;1;35.5;;NORMAL;-5397815827;-2049512442;11.30000096;;0.088495568;3.170062845;23.81
81;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;5;1;34.4;;NORMAL;-5397815827;-2049512442;10.94986008;;0.091325368;3.159571253;23.56
82;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;6;1;43;;NORMAL;-5397815827;-2049512442;13.68732511;;0.073060294;3.319566724;27.65
83;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;7;1;1;59;31.8;DOMINANTE;-5397815827;-2049512442;18.78028328;3.45946629;0.053247333;3.408991594;31.80
84;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;7;2;1;47.9;;NORMAL;-5397815827;-2049512442;15.24704355;;0.065586485;3.369543744;29.07
85;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;7;3;1;62.3;30.1;DOMINANTE;-5397815827;-2049512442;19.83070591;3.404525172;0.050426848;3.419489795;30.10
86;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;7;4;1;54;;NORMAL;-5397815827;-2049512442;17.18873385;;0.058177642;3.427220748;30.79
87;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;7;5;1;49.6;;NORMAL;-5397815827;-2049512442;15.78817035;;0.063338562;3.415517762;30.43
88;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;1;1;1;54.3;;NORMAL;-5398060813;-2049547616;17.28422682;;0.057856218;3.423093299;30.66
89;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;1;2;1;50.7;;NORMAL;-5398060813;-2049547616;16.13831123;;0.061964352;3.423058651;30.66
90;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;1;3;1;46.6;;NORMAL;-5398060813;-2049547616;14.8332407;;0.067416151;3.351798806;28.55
91;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;1;4;1;51.7;;NORMAL;-5398060813;-2049547616;16.45662112;;0.060765815;3.409599283;30.25
92;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;1;5;1;34.6;;NORMAL;-5398060813;-2049547616;11.01352206;;0.090797476;3.181416521;24.08
93;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;1;1;54.3;;NORMAL;-5398060813;-2049547616;17.28422682;;0.057856218;3.423093299;30.66
94;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;2;1;54.1;;NORMAL;-5398060813;-2049547616;17.22056484;;0.058070105;3.423093299;30.66
95;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;3;1;54.3;;NORMAL;-5398060813;-2049547616;17.28422682;;0.057856218;3.423093299;30.66
96;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;4;1;53.6;;NORMAL;-5398060813;-2049547616;17.0614099;;0.058611803;3.40720108;30.18
97;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;5;1;43.3;;NORMAL;-5398060813;-2049547616;13.78281807;;0.072554103;3.349193521;28.48
98;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;6;1;52.6;;NORMAL;-5398060813;-2049547616;16.74310001;;0.059726096;3.403889025;30.08
99;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;2;7;1;49.8;;NORMAL;-5398060813;-2049547616;15.85183233;;0.06308419;3.414030842;30.39
100;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;1;1;37.4;;NORMAL;-5398060813;-2049547616;11.90478974;;0.083999804;3.256253305;25.95
101;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;2;1;49.3;;NORMAL;-5398060813;-2049547616;15.69267739;;0.063723989;3.413988303;30.39
102;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;3;3;1;36.8;;NORMAL;-5398060813;-2049547616;11.71380381;;0.085369366;3.239023447;25.51
103;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;6;2;1;37.9;;NORMAL;-5397815827;-2049512442;12.06394469;;0.082891627;3.25141101;25.83
104;T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;7;2;1;55;30.2;DOMINANTE;-5398060813;-2049547616;17.50704374;3.407841924;0.057119866;3.412328975;30.20
105;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;5;1;48.5;30.5;NORMAL;-5397601955;-2049466213;15.43802948;3.417726684;0.064775106;3.393021894;30.50
106;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;3;1;50.6;31.6;NORMAL;-5397601955;-2049466213;16.10648024;3.453157121;0.062086811;3.401246566;31.60
107;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;8;1;61.8;32.8;DOMINANTE;-5397621603;-2049648113;19.67155097;3.490428515;0.050834833;3.427920977;32.80
108;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;1;1;47.4;;NORMAL;-5397621603;-2049648113;15.08788861;;0.066278326;3.358483273;28.75
109;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;2;1;58;;NORMAL;-5397621603;-2049648113;18.4619734;;0.054165391;3.43487712;31.03
110;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;3;1;47.7;;NORMAL;-5397621603;-2049648113;15.18338157;;0.065861481;3.359205756;28.77
111;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;4;1;57.3;;NORMAL;-5397621603;-2049648113;18.23915648;;0.054827097;3.434377399;31.01
112;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;5;1;48;;NORMAL;-5397621603;-2049648113;15.27887454;;0.065449847;3.350170187;28.51
113;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;6;1;54.2;;NORMAL;-5397621603;-2049648113;17.25239583;;0.057962964;3.444678072;31.33
114;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;6;7;1;55.3;;NORMAL;-5397621603;-2049648113;17.60253671;;0.056809994;3.420150975;30.57
115;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;7;1;1;56.9;;NORMAL;-5397621603;-2049648113;18.11183252;;0.055212525;3.42308532;30.66
116;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;7;2;1;56.3;;NORMAL;-5397621603;-2049648113;17.92084659;;0.055800935;3.431257122;30.92
117;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;7;1;59.1;29.2;NORMAL;-5397621603;-2049648113;18.81211427;3.374168709;0.053157236;3.413903406;29.20
118;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;7;3;1;42.8;;NORMAL;-5397621603;-2049648113;13.62366313;;0.073401698;3.299795939;27.11
119;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;7;5;1;52.3;;NORMAL;-5397621603;-2049648113;16.64760705;;0.060068693;3.42011695;30.57
120;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;1;1;1;42.5;;NORMAL;-5398128372;-2049700371;13.52817016;;0.073919827;3.329196808;27.92
121;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;1;2;1;50;;NORMAL;-5398128372;-2049700371;15.91549431;;0.062831853;3.420267447;30.58
122;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;1;3;1;51;;NORMAL;-5398128372;-2049700371;16.2338042;;0.061599856;3.422316245;30.64
123;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;1;4;1;51.7;;NORMAL;-5398128372;-2049700371;16.45662112;;0.060765815;3.416139845;30.45
124;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;1;5;1;45;;NORMAL;-5398128372;-2049700371;14.32394488;;0.06981317;3.337182605;28.14
125;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;2;1;1;48.3;;NORMAL;-5398128372;-2049700371;15.3743675;;0.065043326;3.363776416;28.90
126;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;2;2;1;52.5;;NORMAL;-5398128372;-2049700371;16.71126902;;0.05983986;3.415912012;30.44
127;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;2;3;1;52.2;;NORMAL;-5398128372;-2049700371;16.61577606;;0.060183767;3.416088452;30.45
128;T-6;P-6;IFC_12_006;400;01/05/2010;26/09/2018;2;4;1;59.5;28.5;DOMINANTE;-5398128372;-2049700371;18.93943823;3.349904087;0.052799877;3.385697522;28.50
129;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;7;4;1;54.9;;NORMAL;-5397621603;-2049648113;17.47521275;;0.05722391;3.43348185;30.98
130;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;6;1;57;31.7;NORMAL;-5397621603;-2049648113;18.14366351;3.456316681;0.055115661;3.423250357;31.70
131;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;5;1;59.8;34.8;DOMINANTE;-5397621603;-2049648113;19.03493119;3.549617387;0.052534994;3.432891657;34.80
132;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;4;1;60;30.4;DOMINANTE;-5397621603;-2049648113;19.09859317;3.414442608;0.052359878;3.430319427;30.40
133;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;4;1;50;;NORMAL;-5397621603;-2049648113;15.91549431;;0.062831853;3.411196214;30.30
134;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;5;1;57.1;;NORMAL;-5397621603;-2049648113;18.1754945;;0.055019136;3.424256929;30.70
135;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;6;1;52.6;;NORMAL;-5397621603;-2049648113;16.74310001;;0.059726096;3.41550686;30.43
136;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;7;1;62.4;30.3;DOMINANTE;-5397621603;-2049648113;19.8625369;3.411147713;0.050346036;3.427920977;30.30
137;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;1;1;43.5;;NORMAL;-5397621603;-2049648113;13.84648005;;0.072220521;3.317876342;27.60
138;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;2;1;50.3;;NORMAL;-5397621603;-2049648113;16.01098728;;0.06245711;3.411170132;30.30
139;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;3;1;42.2;;NORMAL;-5397621603;-2049648113;13.4326772;;0.074445324;3.272589627;26.38
140;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;4;1;47.4;;NORMAL;-5397621603;-2049648113;15.08788861;;0.066278326;3.358483273;28.75
141;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;5;1;51.4;;NORMAL;-5397621603;-2049648113;16.36112815;;0.06112048;3.420354888;30.58
142;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;6;1;43.3;;NORMAL;-5397621603;-2049648113;13.78281807;;0.072554103;3.317876342;27.60
143;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;7;1;46;;NORMAL;-5397621603;-2049648113;14.64225476;;0.068295492;3.318699228;27.62
144;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;3;8;1;50.2;;NORMAL;-5397621603;-2049648113;15.97915629;;0.062581527;3.411170132;30.30
145;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;1;1;54.4;33.6;NORMAL;-5397621603;-2049648113;17.31605781;3.514526067;0.057749865;3.444678072;33.60
146;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;2;1;58.8;33.2;NORMAL;-5397621603;-2049648113;18.71662131;3.502549876;0.053428446;3.437784991;33.20
147;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;3;1;41.6;25.8;NORMAL;-5397621603;-2049648113;13.24169127;3.250374492;0.075519054;3.275466175;25.80
148;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;4;1;56.6;34.6;NORMAL;-5397621603;-2049648113;18.01633956;3.543853682;0.055505171;3.430143617;34.60
149;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;5;1;59.6;31.9;NORMAL;-5397621603;-2049648113;18.97126922;3.46260601;0.052711286;3.429725259;31.90
150;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;6;1;57.7;33.3;NORMAL;-5397621603;-2049648113;18.36648043;3.505557397;0.054447013;3.437305519;33.30
151;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;7;1;54;32.8;NORMAL;-5397621603;-2049648113;17.18873385;3.490428515;0.058177642;3.445296805;32.80
152;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;4;8;1;54.8;31.8;NORMAL;-5397621603;-2049648113;17.44338176;3.45946629;0.057328333;3.437767561;31.80
153;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;1;1;47;27.4;NORMAL;-5397621603;-2049648113;14.96056465;3.310543013;0.066842397;3.341865481;27.40
154;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;2;1;55.6;30.3;NORMAL;-5397621603;-2049648113;17.69802967;3.411147713;0.056503465;3.411295163;30.30
155;T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;5;3;1;56.6;29;NORMAL;-5397621603;-2049648113;18.01633956;3.36729583;0.055505171;3.430143617;29.00
